#date+time,005-atp
"01-16-2023 0700",18.8
"01-16-2023 0800",19.1
"01-16-2023 0900",18.8
"01-16-2023 1000",18.9
"01-16-2023 1100",19.1
"01-16-2023 1200",19.2
"01-16-2023 1300",19.5
"01-16-2023 1400",19.6
"01-16-2023 1500",20.0
"01-16-2023 1600",21.4
"01-16-2023 1700",21.7
"01-16-2023 1800",22.2
"01-16-2023 1900",22.1
"01-16-2023 2000",22.4
"01-16-2023 2100",22.1
"01-16-2023 2200",22.2
"01-16-2023 2300",21.9
"01-17-2023 0000",20.9
"01-17-2023 0100",19.9
"01-17-2023 0200",19.4
"01-17-2023 0300",19.3
"01-17-2023 0400",19.5
"01-17-2023 0500",18.9
"01-17-2023 0600",18.8
"01-17-2023 0700",18.6
"01-17-2023 0800",18.6
"01-17-2023 0900",19.1
"01-17-2023 1000",19.5
"01-17-2023 1100",19.4
"01-17-2023 1200",19.3
"01-17-2023 1300",19.3
"01-17-2023 1400",19.2
"01-17-2023 1500",19.9
"01-17-2023 1600",20.2
"01-17-2023 1700",20.2
"01-17-2023 1800",20.6
"01-17-2023 1900",21.3
"01-17-2023 2000",19.7
"01-17-2023 2100",20.0
"01-17-2023 2200",20.3
"01-17-2023 2300",20.0
"01-18-2023 0000",21.0
"01-18-2023 0100",20.9
"01-18-2023 0200",20.9
"01-18-2023 0300",20.4
"01-18-2023 0400",20.8
"01-18-2023 0500",20.3
"01-18-2023 0600",20.6
"01-18-2023 0700",20.8
"01-18-2023 0800",20.7
"01-18-2023 0900",20.4
"01-18-2023 1000",20.5
"01-18-2023 1100",20.3
"01-18-2023 1200",20.3
"01-18-2023 1300",20.3
"01-18-2023 1400",20.2
"01-18-2023 1500",20.5
"01-18-2023 1600",21.6
"01-18-2023 1700",23.1
"01-18-2023 1800",25.2
"01-18-2023 1900",24.9
"01-18-2023 2000",24.6
"01-18-2023 2100",24.0
"01-18-2023 2200",23.6
"01-18-2023 2300",23.0
"01-19-2023 0000",21.9
"01-19-2023 0100",20.8
"01-19-2023 0200",19.1
"01-19-2023 0300",19.0
"01-19-2023 0400",19.7
"01-19-2023 0500",19.1
"01-19-2023 0600",18.9
"01-19-2023 0700",19.6
"01-19-2023 0800",19.3
"01-19-2023 0900",17.9
"01-19-2023 1000",18.1
"01-19-2023 1100",17.7
"01-19-2023 1200",16.8
"01-19-2023 1300",16.6
"01-19-2023 1400",17.0
"01-19-2023 1500",17.6
"01-19-2023 1600",17.5
"01-19-2023 1700",19.3
"01-19-2023 1800",19.1
"01-19-2023 1900",20.0
"01-19-2023 2000",20.8
"01-19-2023 2100",19.5
"01-19-2023 2200",19.2
"01-19-2023 2300",18.6
"01-20-2023 0000",18.7
"01-20-2023 0100",18.4
"01-20-2023 0200",18.2
"01-20-2023 0300",18.1
"01-20-2023 0400",18.2
"01-20-2023 0500",18.4
"01-20-2023 0600",18.2
"01-20-2023 0700",18.0
"01-20-2023 0800",18.1
"01-20-2023 0900",18.2
"01-20-2023 1000",17.6
"01-20-2023 1100",17.4
"01-20-2023 1200",17.4
"01-20-2023 1300",17.3
"01-20-2023 1400",17.2
"01-20-2023 1500",17.4
"01-20-2023 1600",17.5
"01-20-2023 1700",17.5
"01-20-2023 1800",17.3
"01-20-2023 1900",17.2
"01-20-2023 2000",16.8
"01-20-2023 2100",16.3
"01-20-2023 2200",16.2
"01-20-2023 2300",16.0
"01-21-2023 0000",15.8
"01-21-2023 0100",15.9
"01-21-2023 0200",16.2
"01-21-2023 0300",16.6
"01-21-2023 0400",16.4
"01-21-2023 0500",16.2
"01-21-2023 0600",16.3
"01-21-2023 0700",16.6
"01-21-2023 0800",16.8
"01-21-2023 0900",16.9
"01-21-2023 1000",16.2
"01-21-2023 1100",16.2
"01-21-2023 1200",15.7
"01-21-2023 1300",15.7
"01-21-2023 1400",15.4
"01-21-2023 1500",15.6
"01-21-2023 1600",16.1
"01-21-2023 1700",15.9
"01-21-2023 1800",15.9
"01-21-2023 1900",15.9
"01-21-2023 2000",16.1
"01-21-2023 2100",16.2
"01-21-2023 2200",16.4
"01-21-2023 2300",15.7
"01-22-2023 0000",15.9
"01-22-2023 0100",16.2
"01-22-2023 0200",16.2
"01-22-2023 0300",16.1
"01-22-2023 0400",15.7
"01-22-2023 0500",15.5
"01-22-2023 0600",15.3
"01-22-2023 0700",15.5
"01-22-2023 0800",15.4
"01-22-2023 0900",15.2
"01-22-2023 1000",15.0
"01-22-2023 1100",14.5
"01-22-2023 1200",14.4
"01-22-2023 1300",13.6
"01-22-2023 1400",12.9
"01-22-2023 1500",12.6
"01-22-2023 1600",13.1
"01-22-2023 1700",13.5
"01-22-2023 1800",14.6
"01-22-2023 1900",15.7
"01-22-2023 2000",17.3
"01-22-2023 2100",18.8
"01-22-2023 2200",17.5
"01-22-2023 2300",17.2
"01-23-2023 0000",16.6
"01-23-2023 0100",16.2
"01-23-2023 0200",16.3
"01-23-2023 0300",16.1
"01-23-2023 0400",15.9
"01-23-2023 0500",15.7
"01-23-2023 0600",15.5
"01-23-2023 0700",15.6
"01-23-2023 0800",15.6
"01-23-2023 0900",15.4
"01-23-2023 1000",15.6
"01-23-2023 1100",15.6
"01-23-2023 1200",15.7
"01-23-2023 1300",15.8
"01-23-2023 1400",15.6
"01-23-2023 1500",15.9
"01-23-2023 1600",16.0
"01-23-2023 1700",15.9
"01-23-2023 1800",16.0
"01-23-2023 1900",16.2
"01-23-2023 2000",16.2
"01-23-2023 2100",16.3
"01-23-2023 2200",16.8
"01-23-2023 2300",16.9
"01-24-2023 0000",16.9
