#date+time,013-atp
"01-19-2022 0200",19.6
"01-19-2022 0300",19.3
"01-19-2022 0400",19.5
"01-19-2022 0500",19.9
"01-19-2022 0600",19.9
"01-19-2022 0700",19.9
"01-19-2022 0800",19.3
"01-19-2022 0900",19.0
"01-19-2022 1000",19.0
"01-19-2022 1100",19.3
"01-19-2022 1200",19.3
"01-19-2022 1300",19.1
"01-19-2022 1400",18.9
"01-19-2022 1500",19.9
"01-19-2022 1600",20.8
"01-19-2022 1700",21.6
"01-19-2022 1800",22.5
"01-19-2022 1900",22.5
"01-19-2022 2000",23.1
"01-19-2022 2100",22.9
"01-19-2022 2200",22.4
"01-19-2022 2300",21.8
"01-20-2022 0000",21.2
"01-20-2022 0100",21.0
"01-20-2022 0200",20.9
"01-20-2022 0300",20.7
"01-20-2022 0400",20.5
"01-20-2022 0500",20.1
"01-20-2022 0600",19.8
"01-20-2022 0700",18.7
"01-20-2022 0800",16.5
"01-20-2022 0900",15.1
"01-20-2022 1000",13.2
"01-20-2022 1100",10.9
"01-20-2022 1200",10.1
"01-20-2022 1300",9.6
"01-20-2022 1400",9.1
"01-20-2022 1500",8.4
"01-20-2022 1600",8.4
"01-20-2022 1700",7.2
"01-20-2022 1800",6.4
"01-20-2022 1900",5.4
"01-20-2022 2000",5.7
"01-20-2022 2100",5.8
"01-20-2022 2200",5.5
"01-20-2022 2300",6.1
"01-21-2022 0000",5.8
"01-21-2022 0100",3.7
"01-21-2022 0200",4.0
"01-21-2022 0300",3.4
"01-21-2022 0400",3.3
"01-21-2022 0500",2.9
"01-21-2022 0600",2.8
"01-21-2022 0700",2.8
"01-21-2022 0800",2.6
"01-21-2022 0900",3.4
"01-21-2022 1000",4.1
"01-21-2022 1100",3.4
"01-21-2022 1200",3.1
"01-21-2022 1300",3.2
"01-21-2022 1400",3.5
"01-21-2022 1500",3.4
"01-21-2022 1600",4.0
"01-21-2022 1700",3.4
"01-21-2022 1800",3.8
"01-21-2022 1900",4.2
"01-21-2022 2000",5.3
"01-21-2022 2100",6.5
"01-21-2022 2200",7.7
"01-21-2022 2300",8.4
"01-22-2022 0000",8.1
"01-22-2022 0100",8.6
"01-22-2022 0200",8.8
"01-22-2022 0300",8.8
"01-22-2022 0400",8.9
"01-22-2022 0500",8.8
"01-22-2022 0600",8.9
"01-22-2022 0700",9.0
"01-22-2022 0800",9.0
"01-22-2022 0900",8.7
"01-22-2022 1000",8.6
"01-22-2022 1100",8.0
"01-22-2022 1200",7.9
"01-22-2022 1300",8.0
"01-22-2022 1400",7.8
"01-22-2022 1500",7.5
"01-22-2022 1600",8.3
"01-22-2022 1700",9.7
"01-22-2022 1800",9.6
"01-22-2022 1900",9.1
"01-22-2022 2000",9.5
"01-22-2022 2100",9.7
"01-22-2022 2200",10.0
"01-22-2022 2300",10.2
"01-23-2022 0000",10.3
"01-23-2022 0100",10.4
"01-23-2022 0200",10.8
"01-23-2022 0300",10.6
"01-23-2022 0400",10.4
"01-23-2022 0500",10.8
"01-23-2022 0600",10.8
"01-23-2022 0700",10.5
"01-23-2022 0800",10.5
"01-23-2022 0900",10.5
"01-23-2022 1000",10.2
"01-23-2022 1100",10.4
"01-23-2022 1200",10.2
"01-23-2022 1300",10.2
"01-23-2022 1400",10.0
"01-23-2022 1500",10.1
"01-23-2022 1600",10.3
"01-23-2022 1700",10.4
"01-23-2022 1800",NA
"01-23-2022 1900",10.4
"01-23-2022 2000",10.8
"01-23-2022 2100",10.9
"01-23-2022 2200",11.3
"01-23-2022 2300",10.9
"01-24-2022 0000",11.2
"01-24-2022 0100",10.9
"01-24-2022 0200",11.0
"01-24-2022 0300",11.3
"01-24-2022 0400",11.2
"01-24-2022 0500",11.2
"01-24-2022 0600",11.1
"01-24-2022 0700",11.3
"01-24-2022 0800",10.5
"01-24-2022 0900",10.1
"01-24-2022 1000",10.1
"01-24-2022 1100",10.3
"01-24-2022 1200",10.5
"01-24-2022 1300",10.7
"01-24-2022 1400",11.2
"01-24-2022 1500",11.6
"01-24-2022 1600",11.0
"01-24-2022 1700",NA
"01-24-2022 1800",9.8
"01-24-2022 1900",10.0
"01-24-2022 2000",10.0
"01-24-2022 2100",10.0
"01-24-2022 2200",10.2
"01-24-2022 2300",10.5
"01-25-2022 0000",10.9
"01-25-2022 0100",11.0
"01-25-2022 0200",11.0
"01-25-2022 0300",10.9
"01-25-2022 0400",10.7
"01-25-2022 0500",10.5
"01-25-2022 0600",10.6
"01-25-2022 0700",NA
"01-25-2022 0800",NA
"01-25-2022 0900",NA
"01-25-2022 1000",NA
"01-25-2022 1100",NA
"01-25-2022 1200",NA
"01-25-2022 1300",NA
"01-25-2022 1400",NA
"01-25-2022 1500",NA
"01-25-2022 1600",NA
"01-25-2022 1700",NA
