#date+time,068-atp
"01-22-2009 1700",RM
"01-22-2009 1800",RM
"01-22-2009 1900",RM
"01-22-2009 2000",RM
"01-22-2009 2100",RM
"01-22-2009 2200",RM
"01-22-2009 2300",RM
"01-23-2009 0000",RM
"01-23-2009 0100",RM
"01-23-2009 0200",RM
"01-23-2009 0300",RM
"01-23-2009 0400",RM
"01-23-2009 0500",RM
"01-23-2009 0600",RM
"01-23-2009 0700",RM
"01-23-2009 0800",RM
"01-23-2009 0900",RM
"01-23-2009 1000",RM
"01-23-2009 1100",RM
"01-23-2009 1200",RM
"01-23-2009 1300",RM
"01-23-2009 1400",RM
"01-23-2009 1500",RM
"01-23-2009 1600",RM
"01-23-2009 1700",RM
"01-23-2009 1800",RM
"01-23-2009 1900",RM
"01-23-2009 2000",RM
"01-23-2009 2100",RM
"01-23-2009 2200",RM
"01-23-2009 2300",RM
"01-24-2009 0000",RM
"01-24-2009 0100",RM
"01-24-2009 0200",RM
"01-24-2009 0300",RM
"01-24-2009 0400",RM
"01-24-2009 0500",RM
"01-24-2009 0600",RM
"01-24-2009 0700",RM
"01-24-2009 0800",RM
"01-24-2009 0900",RM
"01-24-2009 1000",RM
"01-24-2009 1100",RM
"01-24-2009 1200",RM
"01-24-2009 1300",RM
"01-24-2009 1400",RM
"01-24-2009 1500",RM
"01-24-2009 1600",RM
"01-24-2009 1700",RM
"01-24-2009 1800",RM
"01-24-2009 1900",RM
"01-24-2009 2000",RM
"01-24-2009 2100",RM
"01-24-2009 2200",RM
"01-24-2009 2300",RM
"01-25-2009 0000",RM
"01-25-2009 0100",RM
"01-25-2009 0200",RM
"01-25-2009 0300",RM
"01-25-2009 0400",RM
"01-25-2009 0500",RM
"01-25-2009 0600",RM
"01-25-2009 0700",RM
"01-25-2009 0800",RM
"01-25-2009 0900",RM
"01-25-2009 1000",RM
"01-25-2009 1100",RM
"01-25-2009 1200",RM
"01-25-2009 1300",RM
"01-25-2009 1400",RM
"01-25-2009 1500",RM
"01-25-2009 1600",RM
"01-25-2009 1700",RM
"01-25-2009 1800",RM
"01-25-2009 1900",RM
"01-25-2009 2000",RM
"01-25-2009 2100",RM
"01-25-2009 2200",RM
"01-25-2009 2300",RM
"01-26-2009 0000",RM
"01-26-2009 0100",RM
"01-26-2009 0200",RM
"01-26-2009 0300",RM
"01-26-2009 0400",RM
"01-26-2009 0500",RM
"01-26-2009 0600",RM
"01-26-2009 0700",RM
"01-26-2009 0800",RM
"01-26-2009 0900",RM
"01-26-2009 1000",RM
"01-26-2009 1100",RM
"01-26-2009 1200",RM
"01-26-2009 1300",RM
"01-26-2009 1400",RM
"01-26-2009 1500",RM
"01-26-2009 1600",RM
"01-26-2009 1700",NA
"01-26-2009 1800",RM
"01-26-2009 1900",RM
"01-26-2009 2000",RM
"01-26-2009 2100",RM
"01-26-2009 2200",RM
"01-26-2009 2300",RM
"01-27-2009 0000",RM
"01-27-2009 0100",RM
"01-27-2009 0200",RM
"01-27-2009 0300",RM
"01-27-2009 0400",RM
"01-27-2009 0500",RM
"01-27-2009 0600",RM
"01-27-2009 0700",RM
"01-27-2009 0800",RM
"01-27-2009 0900",RM
"01-27-2009 1000",RM
"01-27-2009 1100",RM
"01-27-2009 1200",RM
"01-27-2009 1300",RM
"01-27-2009 1400",RM
"01-27-2009 1500",RM
"01-27-2009 1600",RM
"01-27-2009 1700",RM
"01-27-2009 1800",RM
"01-27-2009 1900",RM
"01-27-2009 2000",RM
"01-27-2009 2100",RM
"01-27-2009 2200",RM
"01-27-2009 2300",RM
"01-28-2009 0000",RM
"01-28-2009 0100",RM
"01-28-2009 0200",RM
"01-28-2009 0300",RM
"01-28-2009 0400",RM
"01-28-2009 0500",RM
"01-28-2009 0600",RM
"01-28-2009 0700",RM
"01-28-2009 0800",RM
"01-28-2009 0900",RM
"01-28-2009 1000",RM
"01-28-2009 1100",RM
"01-28-2009 1200",RM
"01-28-2009 1300",RM
"01-28-2009 1400",RM
"01-28-2009 1500",NA
"01-28-2009 1600",RM
"01-28-2009 1700",RM
"01-28-2009 1800",RM
"01-28-2009 1900",RM
"01-28-2009 2000",RM
"01-28-2009 2100",RM
"01-28-2009 2200",RM
"01-28-2009 2300",RM
"01-29-2009 0000",RM
"01-29-2009 0100",RM
"01-29-2009 0200",RM
"01-29-2009 0300",RM
"01-29-2009 0400",RM
"01-29-2009 0500",RM
"01-29-2009 0600",RM
"01-29-2009 0700",RM
"01-29-2009 0800",RM
"01-29-2009 0900",RM
"01-29-2009 1000",RM
"01-29-2009 1100",RM
"01-29-2009 1200",RM
"01-29-2009 1300",RM
"01-29-2009 1400",RM
"01-29-2009 1500",RM
"01-29-2009 1600",RM
"01-29-2009 1700",RM
"01-29-2009 1800",RM
"01-29-2009 1900",RM
"01-29-2009 2000",RM
"01-29-2009 2100",RM
"01-29-2009 2200",RM
"01-29-2009 2300",RM
"01-30-2009 0000",RM
"01-30-2009 0100",RM
"01-30-2009 0200",RM
"01-30-2009 0300",RM
"01-30-2009 0400",RM
"01-30-2009 0500",RM
"01-30-2009 0600",RM
"01-30-2009 0700",RM
"01-30-2009 0800",RM
"01-30-2009 0900",RM
"01-30-2009 1000",RM
"01-30-2009 1100",RM
"01-30-2009 1200",RM
"01-30-2009 1300",RM
"01-30-2009 1400",RM
"01-30-2009 1500",RM
"01-30-2009 1600",RM
"01-30-2009 1700",RM
"01-30-2009 1800",RM
"01-30-2009 1900",RM
"01-30-2009 2000",RM
"01-30-2009 2100",RM
"01-30-2009 2200",RM
"01-30-2009 2300",RM
"01-31-2009 0000",RM
"01-31-2009 0100",RM
"01-31-2009 0200",RM
"01-31-2009 0300",RM
"01-31-2009 0400",RM
"01-31-2009 0500",RM
"01-31-2009 0600",RM
"01-31-2009 0700",RM
"01-31-2009 0800",RM
"01-31-2009 0900",RM
"01-31-2009 1000",RM
"01-31-2009 1100",RM
"01-31-2009 1200",RM
"01-31-2009 1300",RM
"01-31-2009 1400",RM
"01-31-2009 1500",RM
"01-31-2009 1600",RM
"01-31-2009 1700",RM
