#date+time,013-wtp
"01-21-2020 1700",NA
"01-21-2020 1800",NA
"01-21-2020 1900",NA
"01-21-2020 2000",NA
"01-21-2020 2100",NA
"01-21-2020 2200",NA
"01-21-2020 2300",NA
"01-22-2020 0000",NA
"01-22-2020 0100",NA
"01-22-2020 0200",NA
"01-22-2020 0300",NA
"01-22-2020 0400",NA
"01-22-2020 0500",NA
"01-22-2020 0600",NA
"01-22-2020 0700",NA
"01-22-2020 0800",NA
"01-22-2020 0900",NA
"01-22-2020 1000",NA
"01-22-2020 1100",NA
"01-22-2020 1200",NA
"01-22-2020 1300",NA
"01-22-2020 1400",NA
"01-22-2020 1500",NA
"01-22-2020 1600",NA
"01-22-2020 1700",NA
"01-22-2020 1800",NA
"01-22-2020 1900",NA
"01-22-2020 2000",NA
"01-22-2020 2100",NA
"01-22-2020 2200",NA
"01-22-2020 2300",NA
"01-23-2020 0000",NA
"01-23-2020 0100",NA
"01-23-2020 0200",NA
"01-23-2020 0300",NA
"01-23-2020 0400",NA
"01-23-2020 0500",NA
"01-23-2020 0600",NA
"01-23-2020 0700",NA
"01-23-2020 0800",NA
"01-23-2020 0900",NA
"01-23-2020 1000",NA
"01-23-2020 1100",NA
"01-23-2020 1200",NA
"01-23-2020 1300",NA
"01-23-2020 1400",NA
"01-23-2020 1500",NA
"01-23-2020 1600",NA
"01-23-2020 1700",NA
"01-23-2020 1800",NA
"01-23-2020 1900",NA
"01-23-2020 2000",NA
"01-23-2020 2100",NA
"01-23-2020 2200",NA
"01-23-2020 2300",NA
"01-24-2020 0000",NA
"01-24-2020 0100",NA
"01-24-2020 0200",NA
"01-24-2020 0300",NA
"01-24-2020 0400",NA
"01-24-2020 0500",NA
"01-24-2020 0600",NA
"01-24-2020 0700",NA
"01-24-2020 0800",NA
"01-24-2020 0900",NA
"01-24-2020 1000",NA
"01-24-2020 1100",NA
"01-24-2020 1200",NA
"01-24-2020 1300",NA
"01-24-2020 1400",NA
"01-24-2020 1500",NA
"01-24-2020 1600",NA
"01-24-2020 1700",NA
"01-24-2020 1800",NA
"01-24-2020 1900",NA
"01-24-2020 2000",NA
"01-24-2020 2100",NA
"01-24-2020 2200",NA
"01-24-2020 2300",NA
"01-25-2020 0000",NA
"01-25-2020 0100",NA
"01-25-2020 0200",NA
"01-25-2020 0300",NA
"01-25-2020 0400",NA
"01-25-2020 0500",NA
"01-25-2020 0600",NA
"01-25-2020 0700",NA
"01-25-2020 0800",NA
"01-25-2020 0900",NA
"01-25-2020 1000",NA
"01-25-2020 1100",NA
"01-25-2020 1200",NA
"01-25-2020 1300",NA
"01-25-2020 1400",NA
"01-25-2020 1500",NA
"01-25-2020 1600",NA
"01-25-2020 1700",NA
"01-25-2020 1800",NA
"01-25-2020 1900",NA
"01-25-2020 2000",NA
"01-25-2020 2100",NA
"01-25-2020 2200",NA
"01-25-2020 2300",NA
"01-26-2020 0000",NA
"01-26-2020 0100",NA
"01-26-2020 0200",NA
"01-26-2020 0300",NA
"01-26-2020 0400",NA
"01-26-2020 0500",NA
"01-26-2020 0600",NA
"01-26-2020 0700",NA
"01-26-2020 0800",NA
"01-26-2020 0900",NA
"01-26-2020 1000",NA
"01-26-2020 1100",NA
"01-26-2020 1200",NA
"01-26-2020 1300",NA
"01-26-2020 1400",NA
"01-26-2020 1500",NA
"01-26-2020 1600",NA
"01-26-2020 1700",NA
"01-26-2020 1800",NA
"01-26-2020 1900",NA
"01-26-2020 2000",NA
"01-26-2020 2100",NA
"01-26-2020 2200",NA
"01-26-2020 2300",NA
"01-27-2020 0000",NA
"01-27-2020 0100",NA
"01-27-2020 0200",NA
"01-27-2020 0300",NA
"01-27-2020 0400",NA
"01-27-2020 0500",NA
"01-27-2020 0600",NA
"01-27-2020 0700",NA
"01-27-2020 0800",NA
"01-27-2020 0900",NA
"01-27-2020 1000",NA
"01-27-2020 1100",NA
"01-27-2020 1200",NA
"01-27-2020 1300",NA
"01-27-2020 1400",NA
"01-27-2020 1500",NA
"01-27-2020 1600",NA
"01-27-2020 1700",NA
"01-27-2020 1800",NA
"01-27-2020 1900",NA
"01-27-2020 2000",NA
"01-27-2020 2100",NA
"01-27-2020 2200",NA
"01-27-2020 2300",NA
"01-28-2020 0000",NA
"01-28-2020 0100",NA
"01-28-2020 0200",NA
"01-28-2020 0300",NA
"01-28-2020 0400",NA
"01-28-2020 0500",NA
"01-28-2020 0600",NA
"01-28-2020 0700",NA
"01-28-2020 0800",NA
"01-28-2020 0900",NA
"01-28-2020 1000",NA
"01-28-2020 1100",NA
"01-28-2020 1200",NA
"01-28-2020 1300",NA
"01-28-2020 1400",NA
"01-28-2020 1500",NA
"01-28-2020 1600",NA
"01-28-2020 1700",NA
"01-28-2020 1800",NA
"01-28-2020 1900",NA
"01-28-2020 2000",NA
"01-28-2020 2100",NA
"01-28-2020 2200",NA
"01-28-2020 2300",NA
"01-29-2020 0000",NA
"01-29-2020 0100",NA
"01-29-2020 0200",NA
"01-29-2020 0300",NA
"01-29-2020 0400",NA
"01-29-2020 0500",NA
"01-29-2020 0600",NA
"01-29-2020 0700",NA
"01-29-2020 0800",NA
"01-29-2020 0900",NA
"01-29-2020 1000",NA
"01-29-2020 1100",NA
"01-29-2020 1200",NA
"01-29-2020 1300",NA
"01-29-2020 1400",NA
"01-29-2020 1500",NA
"01-29-2020 1600",NA
"01-29-2020 1700",NA
"01-29-2020 1800",NA
"01-29-2020 1900",NA
"01-29-2020 2000",NA
"01-29-2020 2100",NA
"01-29-2020 2200",NA
"01-29-2020 2300",NA
"01-30-2020 0000",NA
"01-30-2020 0100",NA
"01-30-2020 0200",NA
"01-30-2020 0300",NA
"01-30-2020 0400",NA
"01-30-2020 0500",NA
"01-30-2020 0600",NA
"01-30-2020 0700",NA
"01-30-2020 0800",NA
"01-30-2020 0900",NA
"01-30-2020 1000",NA
"01-30-2020 1100",NA
"01-30-2020 1200",NA
"01-30-2020 1300",NA
"01-30-2020 1400",NA
"01-30-2020 1500",NA
"01-30-2020 1600",NA
"01-30-2020 1700",NA
"01-30-2020 1800",NA
"01-30-2020 1900",NA
"01-30-2020 2000",NA
"01-30-2020 2100",NA
"01-30-2020 2200",NA
"01-30-2020 2300",NA
"01-31-2020 0000",NA
"01-31-2020 0100",NA
"01-31-2020 0200",NA
"01-31-2020 0300",NA
"01-31-2020 0400",NA
"01-31-2020 0500",NA
"01-31-2020 0600",NA
"01-31-2020 0700",NA
"01-31-2020 0800",NA
"01-31-2020 0900",NA
"01-31-2020 1000",NA
"01-31-2020 1100",NA
"01-31-2020 1200",NA
"01-31-2020 1300",NA
"01-31-2020 1400",NA
"01-31-2020 1500",NA
"01-31-2020 1600",NA
"01-31-2020 1700",NA
"01-31-2020 1800",NA
"01-31-2020 1900",NA
"01-31-2020 2000",NA
"01-31-2020 2100",NA
"01-31-2020 2200",NA
"01-31-2020 2300",NA
"02-01-2020 0000",NA
"02-01-2020 0100",NA
"02-01-2020 0200",NA
"02-01-2020 0300",NA
"02-01-2020 0400",NA
"02-01-2020 0500",NA
"02-01-2020 0600",NA
"02-01-2020 0700",NA
"02-01-2020 0800",NA
"02-01-2020 0900",NA
"02-01-2020 1000",NA
"02-01-2020 1100",NA
"02-01-2020 1200",NA
"02-01-2020 1300",NA
"02-01-2020 1400",NA
"02-01-2020 1500",NA
"02-01-2020 1600",NA
"02-01-2020 1700",NA
"02-01-2020 1800",NA
"02-01-2020 1900",NA
"02-01-2020 2000",NA
"02-01-2020 2100",NA
"02-01-2020 2200",NA
"02-01-2020 2300",NA
"02-02-2020 0000",NA
"02-02-2020 0100",NA
"02-02-2020 0200",NA
"02-02-2020 0300",NA
"02-02-2020 0400",NA
"02-02-2020 0500",NA
"02-02-2020 0600",NA
"02-02-2020 0700",NA
"02-02-2020 0800",NA
"02-02-2020 0900",NA
"02-02-2020 1000",NA
"02-02-2020 1100",NA
"02-02-2020 1200",NA
"02-02-2020 1300",NA
"02-02-2020 1400",NA
"02-02-2020 1500",NA
"02-02-2020 1600",NA
"02-02-2020 1700",NA
"02-02-2020 1800",NA
"02-02-2020 1900",NA
"02-02-2020 2000",NA
"02-02-2020 2100",NA
"02-02-2020 2200",NA
"02-02-2020 2300",NA
"02-03-2020 0000",NA
"02-03-2020 0100",NA
