dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
01-11-2019 1200,17.5,16.9
01-11-2019 1300,17.7,16.7
01-11-2019 1400,17.9,16.6
01-11-2019 1500,18.0,16.8
01-11-2019 1600,18.4,17.0
01-11-2019 1700,18.9,17.0
01-11-2019 1800,18.8,17.3
01-11-2019 1900,19.3,17.3
01-11-2019 2000,18.9,17.4
01-11-2019 2100,18.6,17.7
01-11-2019 2200,18.5,17.6
01-11-2019 2300,18.7,17.7
01-12-2019 0000,18.9,17.9
01-12-2019 0100,18.6,17.6
01-12-2019 0200,18.9,18.0
01-12-2019 0300,19.0,17.9
01-12-2019 0400,19.1,17.8
01-12-2019 0500,18.6,17.6
01-12-2019 0600,18.7,17.6
01-12-2019 0700,18.2,17.6
01-12-2019 0800,17.9,17.6
01-12-2019 0900,17.9,17.6
01-12-2019 1000,17.5,17.5
01-12-2019 1100,16.8,17.5
01-12-2019 1200,15.7,17.4
01-12-2019 1300,14.6,17.3
01-12-2019 1400,15.1,17.3
01-12-2019 1500,15.6,17.3
01-12-2019 1600,16.2,17.4
01-12-2019 1700,17.1,17.7
01-12-2019 1800,17.5,18.0
01-12-2019 1900,17.7,18.4
01-12-2019 2000,19.0,18.7
01-12-2019 2100,19.8,19.0
01-12-2019 2200,21.2,19.2
01-12-2019 2300,19.1,19.1
01-13-2019 0000,19.3,18.9
01-13-2019 0100,19.3,18.4
01-13-2019 0200,17.0,18.6
01-13-2019 0300,17.0,18.5
01-13-2019 0400,16.4,18.2
01-13-2019 0500,15.7,17.9
01-13-2019 0600,14.6,17.6
01-13-2019 0700,13.4,17.6
01-13-2019 0800,12.7,17.4
01-13-2019 0900,11.7,17.1
01-13-2019 1000,11.4,16.7
01-13-2019 1100,10.7,16.4
01-13-2019 1200,10.1,16.0
01-13-2019 1300,9.5,15.3
01-13-2019 1400,9.0,14.8
01-13-2019 1500,9.2,15.3
01-13-2019 1600,9.7,15.2
01-13-2019 1700,10.4,15.5
01-13-2019 1800,11.1,16.0
01-13-2019 1900,11.3,16.2
01-13-2019 2000,12.0,16.7
01-13-2019 2100,12.9,16.7
01-13-2019 2200,12.3,16.3
01-13-2019 2300,12.5,16.2
01-14-2019 0000,12.6,15.7
01-14-2019 0100,12.6,15.6
01-14-2019 0200,12.9,15.3
01-14-2019 0300,13.1,15.5
01-14-2019 0400,13.0,15.0
01-14-2019 0500,13.1,15.0
01-14-2019 0600,12.7,15.2
01-14-2019 0700,11.6,14.8
01-14-2019 0800,11.3,14.5
01-14-2019 0900,10.8,14.9
01-14-2019 1000,10.7,14.7
01-14-2019 1100,10.4,14.9
01-14-2019 1200,10.1,14.8
01-14-2019 1300,10.1,14.7
01-14-2019 1400,9.6,14.4
01-14-2019 1500,9.5,14.4
01-14-2019 1600,9.3,14.5
01-14-2019 1700,9.2,14.6
01-14-2019 1800,9.3,14.5
01-14-2019 1900,9.2,14.5
01-14-2019 2000,9.6,14.4
01-14-2019 2100,9.9,14.3
01-14-2019 2200,9.9,14.2
01-14-2019 2300,10.0,14.1
01-15-2019 0000,10.0,13.8
01-15-2019 0100,10.1,13.6
01-15-2019 0200,10.2,13.6
01-15-2019 0300,10.2,13.5
01-15-2019 0400,10.5,13.4
01-15-2019 0500,10.8,13.4
01-15-2019 0600,11.0,13.3
01-15-2019 0700,10.8,13.2
01-15-2019 0800,11.0,13.1
01-15-2019 0900,11.4,13.2
01-15-2019 1000,11.3,13.0
01-15-2019 1100,10.9,12.9
01-15-2019 1200,11.1,12.8
01-15-2019 1300,11.5,12.9
01-15-2019 1400,11.7,12.6
01-15-2019 1500,11.9,12.7
01-15-2019 1600,12.0,12.9
01-15-2019 1700,12.2,13.0
01-15-2019 1800,11.7,12.8
01-15-2019 1900,11.1,13.1
01-15-2019 2000,11.5,13.0
01-15-2019 2100,11.4,13.0
01-15-2019 2200,11.6,12.9
01-15-2019 2300,11.8,12.9
01-16-2019 0000,12.2,12.9
01-16-2019 0100,12.6,12.8
01-16-2019 0200,13.4,12.8
01-16-2019 0300,13.9,12.9
01-16-2019 0400,14.0,12.9
01-16-2019 0500,14.4,13.1
01-16-2019 0600,14.7,13.1
01-16-2019 0700,14.5,13.1
01-16-2019 0800,14.9,13.1
01-16-2019 0900,15.4,13.1
01-16-2019 1000,15.5,13.1
01-16-2019 1100,15.6,13.3
01-16-2019 1200,16.1,13.4
01-16-2019 1300,16.3,13.4
01-16-2019 1400,16.6,13.4
01-16-2019 1500,17.0,13.6
01-16-2019 1600,17.4,13.7
01-16-2019 1700,16.9,13.8
01-16-2019 1800,15.8,13.9
01-16-2019 1900,16.5,14.0
01-16-2019 2000,17.1,14.2
01-16-2019 2100,17.3,14.3
01-16-2019 2200,17.9,14.4
01-16-2019 2300,17.7,14.5
01-17-2019 0000,16.3,14.6
01-17-2019 0100,15.4,14.5
01-17-2019 0200,15.6,14.4
01-17-2019 0300,15.6,14.4
01-17-2019 0400,15.5,14.4
01-17-2019 0500,15.5,14.5
01-17-2019 0600,15.5,14.5
01-17-2019 0700,15.2,14.5
01-17-2019 0800,15.2,14.4
01-17-2019 0900,15.1,14.5
01-17-2019 1000,14.5,14.4
01-17-2019 1100,14.4,14.4
01-17-2019 1200,14.4,14.4
01-17-2019 1300,14.2,14.5
01-17-2019 1400,14.1,14.4
01-17-2019 1500,14.3,14.5
01-17-2019 1600,15.2,14.6
